,CustomerDetail,Comment,CommentClass,ProductID
0,Nilay gökdağ|1 Aralık 2019|Nasa İletişim satıcısından alındı.,Gerçekten çok güzel bir telefon bu rengi özellikle harika indirimi kaçıran biri olarak bu fiyatı hak ediyor olması tesellimiz.,['ürüngüzel'],1
1,**** ****|21 Ekim 2019|Atacel satıcısından alındı.,ürün güzel ses çıkışı bence çok güzel ben beğendim umarım alanlarda beğenir,['ürüngüzel'],1
2,**** ****|17 Ekim 2019|İdealSeçim satıcısından alındı.,güzel bir telefon başarılı bir alışveriş oldu emeğe teşekkür ederim,['ürüngüzel'],1
3,Hasan Vural|29 Ocak 2020|Nasa İletişim satıcısından alındı.,ürün çok güzel. sipariş verdim ertesi sabah elime ulaştı. hepinize teşşekkür ederim. aynı ürün mağazalarda çok daha pahalı. bence oradan alacağınıza trendyoldan daha ucuza gönül rahatlığıyla alabilirsiniz.,['ürüngüzel'],1
4,G** D**|24 Kasım 2019|Nethouse satıcısından alındı.,ürün güzel amaürünü 11 11 indirimlerinde aldım bir gün sonra daha da indirime girdi tam anlamıyla fiyasko.,['ürüngüzel'],1
5,**** ****|14 Kasım 2019|BittiBitiyor satıcısından alındı.,10 gündür kullanıyorum. 10 numara 5 yıldız. Samsung iPhone için güzel günler geride kaldı diyebilirim.... yorum güncellemesi yapıyorum: sabah 6da tam şarj olmuş şekilde kullanmaya başladım an itibariyle şarjım 65... daha nolsun galaxy note 4'üm arızalandığı için bunu aldım. beklentilerimin çok üstünde üstelik bu fiyata kaçmaz. telefonu ağırlıklı olarak iş amaçlı kullanıyorum yoğun internet kullanımım var ve 1 günlük süred,"['ürüngüzel','fiyatperformans']",1
6,M** A**|24 Ekim 2019|Nasa İletişim satıcısından alındı.,gayet güzel bir telefon. özelikle dşük modellerden geçenler için efsane. sadece bu kadar bunu bir ekrana alışmak biraz zaman alabilir ama ben çok memnunum.,['ürüngüzel'],1
7,Damla KOCAMAN-Elite Üye|22 Mart 2020|Cepekspress satıcısından alındı.,Ürün güzel ama bir hafta sonra ses kesilmesi başladı. Garantiye yolladık.hala devam düzelmedi,['ürüngüzel'],1
8,Zeynep Su Görgel|3 Ocak 2020|BETPA DİJİTAL satıcısından alındı.,Çok güzel bir telefon. tavsiye ederim. Mavi rengi harika.,['ürüngüzel'],1
9,uğur erkan|24 Ekim 2019|İdealSeçim satıcısından alındı.,ürün beklenenin üstünde bi perfonmans veriyo ben memnun kaldım,['ürüngüzel'],1
10,**** ****|23 Ekim 2019|İdealSeçim satıcısından alındı.,Çok memnun kaldık. 3 gün içinde geldi. Bu fiyata böyle telefon efsanee,['ürüngüzel'],1
11,Burak Kılınç|22 Ekim 2021|CEPSTAR satıcısından alındı.,Her şey anlatıldıgı gibi çok iyi ürün hızlı teslimat,"['ürüngüzel','hızlıteslimat']",1
12,N** M**|21 Ekim 2021|Ümit Teknoloji İletişim Hizm satıcısından alındı.,gayet güzel ürün şarjı çok uzun süre gidiyor,['ürüngüzel'],1
13,Özer Görgün|10 Mart 2021|BETPA DİJİTAL satıcısından alındı.,ürünü alalı 2 yıl oldu ve hala kullanıyorum harika her özelligi var kakiteli resimler çekebiliyorum artık kısa sürede sorunsuz elime ulastı ve cok memnun kaldım,['ürüngüzel'],1
14,**** ****-Elite Üye|15 Aralık 2020|Selekt satıcısından alındı.,ürün güzel hızlı gelfi ikinci defa alışım benimki genpa idi bu kvk geldi güzel akıcı ama ben beyaz renk öneririm,['ürüngüzel'],1
15,**** ****|29 Kasım 2020|Reyontek satıcısından alındı.,gayet güzel telefon f/p ürünü iPhone a falan boşa 2 kat para vermeyin. arada o kadar az fark varmı değmez ..,"['ürüngüzel','fiyatperformans']",1
16,Seher Çimen|19 Kasım 2020|Escmarket satıcısından alındı.,Ürünü bizde yorumlar üzerine aldık gerçekten sorunsuz bir alışverişti paketlemesi kargo hızı gayet memnun kaldık ürünle yeni tanıştık umarım kullanım açısındanda memnun kalırız tşkler,"['ürüngüzel','hızlıteslimat']",1
17,C** E**|3 Kasım 2020|Nasa İletişim satıcısından alındı.,Fiyatına göre diğer marka telefonlara daha fazla ücret vermektense bu telefon hem performans hemde fiyat yönünden daha iyi,['ürüngüzel'],1
18,Mehmet KARAKAYA|12 Nisan 2020|İdealSeçim satıcısından alındı.,Ürün gerçekten çok güzel. Fiyatı da uygun. Gerçekten almak isteyen arkadaşlar için şunu söylemek istiyorum: Tek kelime ile mükemmel.,"['ürüngüzel','uygunfiyat']",1
19,g** b**|12 Nisan 2020|BittiBitiyor satıcısından alındı.,hızlı teslimat guzel ürün,"['ürüngüzel','hızlıteslimat']",1
20,Derya Alşan|9 Nisan 2020|BittiBitiyor satıcısından alındı.,Dış görünüş olarak çok beğendim fakat kutu içerisinde kulaklık olmasını isterdim. Onun haricinde güzel bir telefon,['ürüngüzel'],1
21,**** ****|9 Nisan 2020|BittiBitiyor satıcısından alındı.,kızım için aldım çok hızlı olduğunu söylüyor ekranıda büyük çok iyi özellikle de kamerası mükemmel diyebilirim gayet güzel bir telefon,"['ürüngüzel','hızlıteslimat']",1
22,**** ****|5 Nisan 2020|Doğansan satıcısından alındı.,eşim için aldım gayet hoş ve güzel bir ürün hızlı bu fiyata alınabilecek iyi telefonlardan bir tanesi,['ürüngüzel'],1
23,**** ****-Elite Üye|31 Mart 2020|Bizdenal satıcısından alındı.,güzel bir telefon ekran goruntusu guzel ve menusu kolay iphonden gectigim icin biraz zorlancagimi dusundum ama guzel,['ürüngüzel'],1
