,CustomerDetail,Comment,CommentClass,ProductID
0,**** ****|25 Ağustos 2019|LAV satıcısından alındı.,Paketleme güzeldi tek tek sarılmıştı kırık çizik yoktu 👍 Uzun olan bardakların dip kısmı yamuk biraz entersan geldi 🤔 en kucuk boy olanlar magnolia v.b tatli yapmaya uygun görünüyor deniyeceğim 😄,['iyipaketleme'],28
1,**** ****|2 Mart 2020|LAV satıcısından alındı.,"Küçük olan şerbet ya da kahve yanı için, orta boyu su bardağı olarak büyük olanlar da meşrubat bardağı olarak ideal bence çok beğendim. Paketlemesi de gayet iyiydi.",['iyipaketleme'],28
2,N** K**|9 Ağustos 2021|Markam Burada satıcısından alındı.,Daha önce farklı bi satıcıdan almıştım çok iyi paketlenmişti bu sefer farkında olmadan başka satıcıdan almışım kırık geldi ne yazık ki umarım telafi edilir,"['iyipaketleme','kırıkgeldi']",28
3,Gönül Acu|24 Haziran 2021|LAV satıcısından alındı.,"Ürünü 12 ye tamamlayacaktım , fakat gelen ürünü gördükten sonra niye bir set daha vermedim diye kendime kızdım:/ olsun şimdi indirime girince tekrar sipariş vereceğim, alın aldırın , çeyizimi parça parça alıyordum bardaklar eksikti bunlar tam oldu sade ve çok şık, şahaşalı şeyleri zaten sevmem :) bardaklardan en küçüğü, çok büyük diyen olmuş fotoğraf ekledim bence kahve yanına öyle küçücük su bardakları koymaktansa bu daha daha güzel , ki göreceksiniz zaten paket gelince :) herkes almalı bence , paketleme de mükemmel kırık yok şükür 🙏😊",['iyipaketleme'],28
4,G** Ç**|23 Mayıs 2021|NAR50 satıcısından alındı.,Özenli paketleme ve harika bardaklar teşekkür ederim. Ben 64 liraya aldım ve baya memnun kaldım. Allahını seven yorumlara fotoğraf koysun gelen ürünü görelim. 3 boyun da fotoğrafını ekledim.,"['iyipaketleme','ürüngüzel']",28
5,**** ****|28 Aralık 2019|LAV satıcısından alındı.,Paketleme çok güzel .. Bardaklar gayet kaliteli. en küçük için kahve yani bardagi olur demişler ama normal günlük bardak olacak kadar büyük.. Kesinlikle alınır,['iyipaketleme'],28
6,servet Ercan|2 Kasım 2019|LAV satıcısından alındı.,urun elime kisa sürede ulaştı cok guzel paketlenmişti ve hic kırık yoktu bardaklarin boylari da gayet guzel ve ideal en kucuk biyu bile guzel diger yorumlarda bahsedildigi kadar kucuk degil ceyizlik düşünenlere tavsiye ederim,"['iyipaketleme','hızlıteslimat']",28
7,Mine Gökhan|16 Eylül 2019|LAV satıcısından alındı.,"Güzel paketlenmiş, hiç zarar görmeden geldi. Bardak çeşitliliği çok iyi. Her evin ihtiyacı, kesinlikle alınmalı.",['iyipaketleme'],28
8,**** ****|13 Eylül 2019|LAV satıcısından alındı.,ürün elime bir kaç günde geldi. bardaklar tek tek balonlu poşete geçirilmiş kutuda karton var kendi kutusu ekstra başka bir kutuda o kadar güzel paketlenmiş ki 1 tane kırık yok çok şükür. 3 paket sipariş verdim kargocu 2 koliyi 1 kerede getirdi bugün de diğer kolimi getirdi arkadaşlar unutmuşlar dedi yanlışlıkla bende onlar yüzünden size kötü puan verdim özür dilerim. bardaklar çok kalın ve kaliteli hepsini çeyizime koyucam . kolay gelsin . hakkınızı helal edin lütfen yanlışlıkla yaptım,['iyipaketleme'],28
9,izel dikilitas|21 Haziran 2019|LAV satıcısından alındı.,ürünler cok güzel ve kaliteli..paketlemeler harikaydı hepsi tek tek Özenle paketlenmiş cok tesekkurler,"['iyipaketleme','kaliteliürün']",28
10,**** ****|13 Haziran 2019|LAV satıcısından alındı.,Hem fiyat olarak çok uygun hem de çok şık. Paketlemesi de çok iyiydi. Bir takım almıştım şimdi ikinci takımı sipariş verdim. Güvenle alabilirsiniz.,['iyipaketleme'],28
11,Hilal Eken|13 Kasım 2021|LAV satıcısından alındı.,ürünler çok güzel günlük için de misafir için de kullanılır ürünler hafif değil tam olması gerektiği gibi kahve yani bardağı emsallerine göre biraz büyük ama kötü degil sonuçta fincan boyları bile farklı olabiliyor camı kalın paketleme de çok iyiydi kırık yok tavsiye ederim kullanısli ürün,['iyipaketleme'],28
12,Rabia nur Gündüz|13 Kasım 2021|LAV satıcısından alındı.,Bu fiyata 2 takım aldım ve gerçekten harika paketleme falan çok iyiydi çok teşekkürler çok memnun kaldım,"['iyipaketleme','ürüngüzel']",28
13,B** Y**|12 Kasım 2021|LAV satıcısından alındı.,Harika paketleme lav kalitesini seviyorum ve satıcı Harika paketliyor bu Kasım indirim yoğunluğunda bile 4 gümde elime ulaştı düşünmeden alın şade ve şık sofralar için Harika boyutları da çok iyi,['iyipaketleme'],28
14,A** A**|12 Kasım 2021|LAV satıcısından alındı.,Tek kelimeyle harika... Hızlı kargo ve paketleme de çok çok iyi bu yüzden kırık yoktu. teşekkür ederim,"['iyipaketleme','hızlıteslimat']",28
15,B** T**|11 Kasım 2021|Markam Burada satıcısından alındı.,Paketleme özenli ve güzeldi. 2 günde elime ulaştı. Ürünler de fena değil . Bu fiyata alınabilir. Ben beğendim,['iyipaketleme'],28
16,**** ****|11 Kasım 2021|LAV satıcısından alındı.,"Ürün hemen elime ulaştı, paketlenmesi de güzeldi en ufak bir çizik bile yok bardakların kaliteside güzel ince değil kaliteli duruyor","['iyipaketleme','kaliteliürün']",28
17,F** A**|10 Kasım 2021|LAV satıcısından alındı.,Çok iyi bir paketleme çok beğendim hiç kırık çıkmadı ve çok kaliteli duruyor fiyata göre bu takım çok iyi 😌,"['iyipaketleme','fiyatperformans']",28
18,Gonca Gül ÖZCAN|10 Kasım 2021|LAV satıcısından alındı.,Misafir takımı olarak aldım günlük için de gayet uygun siz nasıl isterseniz.Paketleme de çok çok ozenliydi teşekkür ederim ilginiz için.Tek sorun kargo evime getirmedi gidip şubeden aldım o yüzden bir yıldız kiriyorum.,['iyipaketleme'],28
19,I** Ç**|5 Kasım 2021|LAV satıcısından alındı.,çekinerek sipariş vermiştim hiç kırık çatlak yoktu özenli paketleme ile elime ulaştı bardaklar çok güzel boyutları ideal memnun kaldım tavsiye ediyorum,"['iyipaketleme','ürüngüzel']",28
20,**** ****|3 Kasım 2021|LAV satıcısından alındı.,Harika kalite ve 6 kişilik 2 takım aldım kırıksız eksiksiz dört dörtlük geldi helal olsun kutu içinde kutu ile geldi ve paketleme de özenliydi,['iyipaketleme'],28
21,Cigdem Tunc-Elite Üye|31 Ekim 2021|LAV satıcısından alındı.,Kaç takım aldım sanırım 4 set çok guZel 1kutuda 1 adet kırık cikti oda nazar olsun dedim çünkü çok güzel paketlenmişti her şey için teşekkürler,['iyipaketleme'],28
22,N** B**|30 Ekim 2021|LAV satıcısından alındı.,Bayıldım aşırı güzel hepsi gönül rahatlığı ile alabilirsiniz çeyizim için aldım sorunsuz teslim aldım paketleme çok özenliydi çok teşekkür ederim,['iyipaketleme'],28
23,**** ****|30 Ekim 2021|LAV satıcısından alındı.,korkarak sipariş verdim ama inanılmaz güzel 1 tane bile kırık bişey yok o kadar güzel paketlenmişti taş düşse kırılmaz,['iyipaketleme'],28
24,Betül Erdogan|30 Ekim 2021|LAV satıcısından alındı.,yorumlara aldanmayın gayet güzel paketlenmisti hoc kirik yoktu tereddüt etmeden alabilirsiniz teşekkürler trendyol,['iyipaketleme'],28
25,T** d**|27 Ekim 2021|LAV satıcısından alındı.,ürünü bugün teslim aldım aynen görseldeki gördüğünüz gibi.gunluk kullanım için çok uygun paketleme harikaydı tek kırık bile yoktu firmaya teşekkür ederim,['iyipaketleme'],28
26,s** e**|26 Ekim 2021|LAV satıcısından alındı.,kargo 2 günde geldi bardaklar çok güzel paketleme muazzam çok beğendim kırılma cizilme yok teşekkürler,['iyipaketleme'],28
27,Y** B**|25 Ekim 2021|LAV satıcısından alındı.,"Ürünüm elime sorunsuz bir şekilde ulaştı.paketleme cok iyi yapilmis bazi yorumları okurken endiselenmistim ama cok sukur kiriksiz defosuz bir şekilde geldi bardaklarım.Kesinlikle alın,aldırın cevrenizdekilere.",['iyipaketleme'],28
28,**** ****|25 Ekim 2021|LAV satıcısından alındı.,Gerçekten çok güzel be kaliteli paketleme de güzeldi hiç kırık yok bardak boyutları ideal büyüklükte TEŞEKKÜRLER❤️,"['iyipaketleme','ürüngüzel']",28
29,N** B**|25 Ekim 2021|LAV satıcısından alındı.,Çok şık bi ürün çok beğendim keyifle kullancam özenli paketleme hızlı teslimat için de ayrıca teşekkürler:),['iyipaketleme'],28
30,e** e**-Elite Üye|24 Ekim 2021|LAV satıcısından alındı.,"Resimdekinden 10 kat daha güzel duruyor , eksiksiz ve kırık vs olmadan geldi. Paketleme çok özenliydi , Bu fiyata bu kalite şiddetle tavsiye ediyorum!♥️","['iyipaketleme','fiyatperformans','şıkduruyor']",28
31,**** ****|23 Ekim 2021|LAV satıcısından alındı.,arkadaşlar ben çeyizim için aldım harika paketleme hız ürün kalitesi mükemmel kesinlikle gözün kapalı güvenin bir tane bile kırık çıkmadı,['iyipaketleme'],28
32,çiğdem çıldır-Elite Üye|23 Ekim 2021|LAV satıcısından alındı.,indirimdeyken aldım harika gerçekten özenli paketleme içinde ayrıca teşekkür ederim 🙏 hakkını vermişsiniz gerçekten bol kazançlar,['iyipaketleme'],28
33,**** ****|23 Ekim 2021|LAV satıcısından alındı.,bardaklar çok güzel anneme hediye aldım. paketleme iyi değildi fakat sorunsuz geldi. teşekkürler. 1 yıldızı paketlemenin iyi olmamasından kiriyorum,['iyipaketleme'],28
34,**** ****|24 Ekim 2021|LAV satıcısından alındı.,ürün resimde görünenin birebir aynısı çok şık normal su bardağını 3 bardağın yanına koyarak çektim tereddütte kalanlar için paketlenmesi çok ozenliydi bunun için ayrıca çok teşekkür ederim ve 3 gün içerisinde elime ulaştı hızlı teslimat ve özenli paketleme için teşekkür ederim lav ailesi ben çok memnun kaldım,"['iyipaketleme','ürüngüzel','hızlıteslimat']",28
35,N** E**|22 Ekim 2021|LAV satıcısından alındı.,hiç bir sıkıntı yaşamadım kullanıyoruz şu anda çok şık duruyor bayıldım kargolama paketleme çok güzel düşünmeden alın.,"['iyipaketleme','şıkduruyor']",28
36,**** ****|21 Ekim 2021|LAV satıcısından alındı.,"Ürün çok kaliteli, paketleme gayet başarılı, tam, eksiksiz ve sağlam şekilde teslim aldım, satıcıya hayırlı satışlar diliyorum…","['iyipaketleme','kaliteliürün']",28
37,A** K**|20 Ekim 2021|LAV satıcısından alındı.,Çeyizim için indirimdeyken aldım. 12’li olması için 2 adet aldım. Paketleme güzeldi çok şükür kırılmadan elime ulaştı🙏🏻 Çok şık bir ürün 👍🏼 Herkese tavsiye ederim. Teşekkürler🥰,['iyipaketleme'],28
38,HİLAL YILDIZ|20 Ekim 2021|LAV satıcısından alındı.,"Çeyizim için aldım. Sipariş verir vermez işleme alınıp kargolandı oldukça hızlıydı açıkcası teşekkür ediyorum. Kırık yok, sağlam paketleme..",['iyipaketleme'],28
39,**** ****|20 Ekim 2021|Markam Burada satıcısından alındı.,Ürünler göründüğü gibi özenle paketlenmiş kırık gelir diye korktum lakin hiç bir sorun yok teşekkürler ⭐⭐⭐⭐⭐,['iyipaketleme'],28
40,M** K**|20 Ekim 2021|LAV satıcısından alındı.,ürünler gayet güzel paketlenmiş bir şekilde geldi. sadece bir tanesinin ufak bı çatlağı vardı. Geri gönderim yapılacağını söylediler . bence fiyatına göre gayet güzel ve şık. Satıcı da oldukça ilgili ve kargo oldukça hızlıydi. herşey için teşekkürler:),['iyipaketleme'],28
41,**** ****|20 Ekim 2021|LAV satıcısından alındı.,Paketlemesi çok güzeldi. Ailecek günlük kullandığımız şık bardaklar. En küçük boyları kahve yanı bardağı olarak da kullanılabilir,['iyipaketleme'],28
42,Y** i**|20 Ekim 2021|LAV satıcısından alındı.,Ürünler kaliteli ve cok güzel paketlenmişti gönül rahatlığıyla alabikirsiniz elinizie emeğinize sağlık.,"['iyipaketleme','kaliteliürün']",28
43,M** k**|20 Ekim 2021|LAV satıcısından alındı.,bardak takımı gayet şahane çok memnun kaldım fiyatı da çok uygun almıştım tavsiye ederim İnci diye tereddütte kalmıştım ama gayet iyi kalın paketleme çok iyi sağlam geldi,"['iyipaketleme','ürüngüzel','sağlamgeldi']",28
44,k** ş**|19 Ekim 2021|LAV satıcısından alındı.,urun kisa surede elime ulasti ve o kadar guzel paketlenmisti ki kirilmasi imkansiz gibi. bardaklar cok guzel ayrica,['iyipaketleme'],28
45,i** a**-Elite Üye|19 Ekim 2021|LAV satıcısından alındı.,"Çeyiz için alınabilecek bir parça, 2 set günlük için aldım çok beğendim, paketleme de çok güzel sorunsuz geldi.",['iyipaketleme'],28
46,e** b**|19 Ekim 2021|LAV satıcısından alındı.,ürünün en ufak boyu kahve yani olarak kullanılmaya daha müsait diğer iki takımda büyüklükleri güzel siparişim özenle paketlenmiş sağlam bir sekilde elime ulaştı teşekkür ederim,['iyipaketleme'],28
47,Tuğçe Nur Sevinç|19 Ekim 2021|LAV satıcısından alındı.,bildiğiniz lav kalitesi sıkıntısız ve hızlı bir şekilde teslim aldım. çok iyi paketlenmiş kırılması için yere düşmesi gerek. kırıldıysa kargo şirketinden kaynaklıdır diye düşünüyorum. tavsiye ederim.,['iyipaketleme'],28
48,A** E**|19 Ekim 2021|LAV satıcısından alındı.,"Ürün elime çok güzel paketlenmiş halde geldi , en küçük boyutlu bardak tam 200 ml şu alıyor gayet güzel , orta boy bardak 250ml alıyor ve tam magnolya veya pudinkli tatlı bardağı 😂",['iyipaketleme'],28
49,**** ****|19 Ekim 2021|LAV satıcısından alındı.,paketleme çok iyiydi hasarsız geldi . ürünler de çok şık ve ağır duruyor o yüzden ben yemek takımım ile beraber kullanacağım . çok uygun fiyata aldım 50 tlydi. o yüzden iki takım aldim,['iyipaketleme'],28
50,Zehra YILMAZ|18 Ekim 2021|LAV satıcısından alındı.,Yorumlara bakınca acaba kırık gelir mi diye endişelenmiştim ama gayet sağlam geldi paketlemesi çok iyiydi kendi kutusundan hariç bir karton kutunun içine koymuşlardı sağlamdı ve hızlı teslimat.,"['iyipaketleme','hızlıteslimat']",28
51,G** B**|17 Ekim 2021|LAV satıcısından alındı.,"Aşırı sevdim, hem kendime ceyiz için aldım hemde anneme mutfak hediyesi olarak aldım. Fiyatına göre cok iyi ve kaliteli. Paketleme de mükemmel ve kargo cok hızlıydı, çok memnun kaldım 😊🙏🏻","['iyipaketleme','ürüngüzel','fiyatperformans','hızlıteslimat']",28
52,**** ****|16 Ekim 2021|LAV satıcısından alındı.,Çeyizim için aldım. Hızlı kargo ve iyi paketleme için teşekkürler :) kırıksız sapasağlam geldi güvenle alışveriş yapabilirsiniz.,"['iyipaketleme','hızlıteslimat','sağlamgeldi']",28
53,K** A**|16 Ekim 2021|LAV satıcısından alındı.,Kargo gayet özenli paketlenmişti indirimden uygun fiyata aldım görselliği ve boyutları güzel sadece en küçük bardağı ara boy birazcık,"['iyipaketleme','uygunfiyat']",28
54,R** b**|16 Ekim 2021|LAV satıcısından alındı.,paketleme çok iyiydi.Sag salim teslim aldım mükemmel bir set indirimle çok iyi bir fiyata aldım.Ben günlük kullanım için aldım çok şık duruyor,"['iyipaketleme','uygunfiyat','şıkduruyor','günlükkullanım']",28
55,Y** K**|10 Ekim 2021|LAV satıcısından alındı.,Çok uygun ve paketlenmesi çok iyi kırık çıkmadı bu 4. alışımız hediyelik için çok iyi indirimde 55e kadar düşüyor takip edin alın aldırın,['iyipaketleme'],28
56,A** D**|6 Ekim 2021|LAV satıcısından alındı.,Ürünüm çok güzel paketlenmişti ve sorunsuz bir şekilde hemen eline ulaştı bardaklara ise bayıldık çok güzel hepsi de,['iyipaketleme'],28
57,**** ****-Elite Üye|3 Ekim 2021|LAV satıcısından alındı.,Bayıldım çok güzeller paketleme de çok iyiydi hiç bir kırık olmadan elime ulaştı emeği geçen herkese teşekkürler 🙏,['iyipaketleme'],28
58,b** p**|3 Ekim 2021|LAV satıcısından alındı.,"Paketleme çok özenliydi. Hiç kırık yok, kargo da ertesi gün teslim edildi. bardaklar da çok güzel her boyu kullanışlı ve şık.",['iyipaketleme'],28
59,**** ****|2 Ekim 2021|LAV satıcısından alındı.,paketleme çok güzel ve resimdeki.gibi geldi çok beğendim sadece kahve bardakları biraz büyük alırken bu sizin için sorun değilse düşünmeden alın,['iyipaketleme'],28
60,E** Ö**|2 Ekim 2021|LAV satıcısından alındı.,paketleme güzel hiç kırık çıkmadı bardaklar çok şık bir set daha sipariş vereceğim tereddüt etmeden alabilirsiniz,['iyipaketleme'],28
61,Aşkın Özoğul-Elite Üye|2 Ekim 2021|LAV satıcısından alındı.,"Paketleme çok iyiydi , bir bardağımda bile herşeyimmm hiç bir ne kırık nede çatlak vardı. sapasağlam elime ulaştı. ve Çok güzeller. Alın , aldırın 😊",['iyipaketleme'],28
62,n** ö**|1 Ekim 2021|LAV satıcısından alındı.,bardaklar kaliteli resimde göründüğü gibi . mükemmel paketleme . hızlı kargo . 57 tl ye indirimdeyken aldım.,['iyipaketleme'],28
63,**** ****|30 Eylül 2021|LAV satıcısından alındı.,gayet güzel. tereddüt etmeden alabilirsiniz. paketleme de çok iyiydi. hiç kırık yoktu. kısa sürede elime ulaştı. teşekkürler,['iyipaketleme'],28
64,Z** ö**|29 Eylül 2021|LAV satıcısından alındı.,Çok beğendim paketlenmesi gayet iyiydi kargoda hızlıydı sipariş verirken tereddüt etmiştim ama kesinlikle öneriyorum 👍,['iyipaketleme'],28
65,M** Ö**|29 Eylül 2021|LAV satıcısından alındı.,güzel paketlenmiş kalitesini de çok beğendim bardakların fiyatına göre bu kadar güzel olabileceğini tahmin etmemiştim,['iyipaketleme'],28
66,fatma kavalcı|28 Eylül 2021|LAV satıcısından alındı.,Hızlı teslimat mükemmel. 2 li set aldım.12 kişilik oldu😍Tüm ürünlerim sağlam geldi özenle paketlenmiş. Günluk kullanım için aldım ama misafırede konulabılır çok şıklar dısardan bu fiyata bulamazsınız Paşabahcede 2 katı fiyatına yazık bence. Kahve bardagı cok küçük degıl normalde su bardagı yerıne bıle kullanılır. Tereddüt etmeden alabılırsınız. Mutfak dolabımda yer olsa 1 takım daha almak istiyorum. Gerçekten çok uygun ve guzel.,"['iyipaketleme','hızlıteslimat','günlükkullanım']",28
67,N** T**|28 Eylül 2021|LAV satıcısından alındı.,Çok kaliteli ve şık bir ürün paketlemesi de güzeldi sorunsuz sağlam bir şekilde elime ulaştı. Çok beğendim.,['iyipaketleme'],28
68,A** B** Y**|28 Eylül 2021|LAV satıcısından alındı.,Bardakları zaten kendi evimizde de kullanıyoruz çok memnunuz ben bi set de çeyizine almak istedim gerçekten çok iyi paketlenmiş çok şükür tek 1 kırık yok güvenle alışveriş yapabilirsiniz ben çok memnun kaldım,"['iyipaketleme','ürüngüzel']",28
69,M** A**|27 Eylül 2021|LAV satıcısından alındı.,cok uygun fiyata almıştım ben paketlenmesi gayet iyi hiç kırık çatlak olmadan elime ulaştı teşekkürler,"['iyipaketleme','uygunfiyat']",28
70,R** k**|27 Eylül 2021|LAV satıcısından alındı.,anneme de almıştım şimdide ceyizime aldım indirimden almıştım ikisinide çok güzel paketlemesi görünüşü bile çok şık 😊😊,['iyipaketleme'],28
71,Y** A**|27 Eylül 2021|LAV satıcısından alındı.,"Ürünün kampanyadan aldım gayet uyguna geldi, hiçbir kırık falan yok bardaklar çok şık duruyor, paketleme de güzeldi teşekkürler.","['iyipaketleme','şıkduruyor']",28
72,**** ****|25 Eylül 2021|LAV satıcısından alındı.,Paketlenmesi çok iyiydi. Bardakları boyutları da güzel. Camı biraz daha ince bekliyordum aslında ama memnunum tok bir duruşu var.,['iyipaketleme'],28
73,F** S**|25 Eylül 2021|LAV satıcısından alındı.,"Paketlemesi çok güzeldi tek bir kırık ya da hasar olmadan geldi. Bardaklar küçük orta ve büyük günlük kullanıma çok uygun, çeyiz için aldık 👍🏻",['iyipaketleme'],28
74,B** D**|24 Eylül 2021|LAV satıcısından alındı.,çeyizim içini aldım günlük kullanım için gayet güzel paketleme ayrıca güzeldi hiç kırık falan çıkmadı 2 takım sipariş vermiştim güzel gelince 1 takım daha verdim sipariş satıcıya teşekkür ediyorum :),"['iyipaketleme','günlükkullanım']",28
75,Ebru Gürbüz-Elite Üye|24 Eylül 2021|LAV satıcısından alındı.,Paketleme çok iyiydi gereken özen gösterilmiştir çok teşekkür ederim aldığınız para helal olsun vallahi,['iyipaketleme'],28
76,N** K**|24 Eylül 2021|LAV satıcısından alındı.,Kargo 1 günde geldi. Hiçbir sorun yaşamadım. Çok güzel paketlenmişti. Hiçbiri kırılmamıştı. Tavsiye ederim.,['iyipaketleme'],28
77,T** D**|24 Eylül 2021|LAV satıcısından alındı.,Ürün çok güzel paketlenmiş ve fiyatına göre muhteşem bir ürün beklediğimden daha iyi geldi çok teşekkür ederim,"['iyipaketleme','ürüngüzel','fiyatperformans']",28
