Comment_en,CommentClass_en,Unnamed: 0
"A really nice phone, this color is particularly a wonderful discount as someone who deserves this price.",['Product'],0
"I think the product is beautiful sound output, I like it, I hope it likes in areas",['Product'],1
"A nice phone was a successful shopping, thank you for labor",['Product'],2
The product is very nice. I ordered it the next morning I got it. Thank you all. The same product is much more expensive in stores. I think you can get it from there for a cheaper peace of mind than the trendyol.,['Product'],3
The product is beautiful but I bought the 11 11 discounts a day after a day fiasko entered the discount.,['Product'],4
"I have been using it for 10 days. Number 10 5 stars. Samsung iPhone for good days I can say I can say .... I make a comment update: 65 in the morning as of the moment I started to use my charging 65 ... more Nolsun Galaxy Note 4'üm I got it because I got it. More than my expectations, it does not escape at this price. I use the phone mainly for business purposes, I use intensive internet use and 1 day","['Product', 'Priceperformance']",5
"It's a very nice phone. Especially the legend for those who pass through excessive models. It can take some time to get used to it so much, but I am very pleased.",['Product'],6
The product is nice but a week after a week began to stop the sound. We sent it to the guarantee.,['Product'],7
It is a very nice phone. I recommend. The blue color is great.,['Product'],8
"The product gives a performance above the expected, I am satisfied",['Product'],9
We were very pleased. It arrived in 3 days. Such a phone at this price legend,['Product'],10
"As it is explained, very good product fast delivery","['Product', 'Speedeslimat']",11
very nice product charge goes for a very long time,['Product'],12
"It has been for 2 years since I bought the product and I still use it, I have every feature.",['Product'],13
"Product is nice fast gelfi for the second time my buying was mine was genpa, this kvk came beautiful fluent but I recommend white color",['Product'],14
Do not give 2 times the money to waste 2 times. Isn't there that much difference in between.,"['Product', 'Priceperformance']",15
We got the product on the comments we got a really smooth shopping packaging cargo speed we were very satisfied with the product we just met I hope we will be satisfied with the use.,"['Product', 'Speedeslimat']",16
This phone is better in terms of both performance and price than to pay more for other brand phones.,['Product'],17
The product is really beautiful. The price is also affordable. I would like to say that for friends who really want to buy: perfect with one word.,"['Product', 'convenience']",18
Fast Delivery Beautiful Product,"['Product', 'Speedeslimat']",19
"I liked it very much in appearance, but I wish I had a headset in the box. A nice phone other than that",['Product'],20
"I bought it for my daughter, it says it is very fast, the screen is very good, especially the camera is perfect.","['Product', 'Speedeslimat']",21
"I bought it for my wife, a very nice and beautiful product is one of the good phones that can be purchased at this price",['Product'],22
"a nice phone screen image is beautiful and menus easy to pass from the iphondi I thought I was a little difficult, but it is nice",['Product'],23
"According to the price of the product, I bought a gift to my daughter, the exterior design and image quality is quite good, I ordered on Saturday came on Monday, even though I hesitated, we were satisfied with the only shorter headphones, but I have a door to the outside.","['Product', 'Priceperformance']",24
"There is no need to think much, the good product, we interpreted it as your heart is spacious, but when talking on the phone, the sound is viscous or pushed during the conversation because of the sensor.",['Product'],25
I was satisfied as the first impression of the performance according to the price. The receivables will not be unhappy.,"['Product', 'Priceperformance']",26
"Deserves the money you gave to the end, a very nice phone, face recognition feature I love the wonderful color",['Product'],27
"I bought the phone today, but they do not damage the box a little more in the box to make a little more coating if you make a little more coating.",['Product'],28
"I am very pleased with everything, you can get it without thinking so cheaply such high quality",['Product'],29
A very nice phone according to the price is both useful and those who want to buy frequently can get without thinking,"['Product', 'Priceperformance']",30
"The nice phone seems to pay for the price because the charge is very good, the camera is very good and there is no problem except that it is a little big and heavy.",['Product'],31
"It is a very nice phone according to the price, I also liked this brand for the first time I hope I hope I have a problem .. I was satisfied with the packet and cargo. It was good if I hadn't entered the discount a few hours after I bought it.","['Product', 'Priceperformance']",32
"It's a good phone, I don't think you'll get upset. Fast, camera quality moderate, recommended",['Product'],33
"The product is beautiful before I have already bought 4 units from different stores, small price performance phone","['Product', 'Priceperformance']",34
I was very pleased that it works very quickly.,['Product'],35
"I bought the phone as a gift to my mother, I looked a little when I said the installation, etc., I really liked it. Fluent, fast, screen quality, wide screen, I liked the rijick structure of the phone. The quality of quality it gives for a phone at this price is really good. The photo is very, very good, I love it. For example, I liked the portrait mode on the selfie camera. I preferred the blue color and I recommend it to you, it has a pleasant color. Tuesday night Sip",['Product'],36
Price performance product.,"['Product', 'Priceperformance', 'convenience']",37
"I am commenting on this phone right now, I have been using it for about 2 weeks, you can get it with peace of mind.",['Product'],38
The product is really nice. I can even say that even the best phone on the market that can be bought at this price.,"['Product', 'Speedeslimat']",39
"Really nice phone, but I had a protection on the window, I did not press the keys, but also returned to normal.",['Product'],40
"Reliable shopping, fast shipping, cheap price. I have been using the phone for about 1 month, it's really good. I ordered it on Friday, it came on Monday. Thanks nisa communication thanks trendyol. 👍","['Product', 'Speedeslimat']",41
"The product is fine. There is no need to comment in terms of price performance at this price at this performance I can say that there is no phone opponent. I have been using it for approximately 2 months now, I have never had any troubles and very satisfied.","['Product', 'Priceperformance', 'convenience']",42
The product is fine. It's not a thin phone. Satisfying charge and speed. The camera is enough for standard shooting. The cargo package was carefully made. thanks.,['Product'],43
"I bought 128 very nice, but there is a shortage of sensor while talking, I always touch other places, so I close the screen.","['Product', 'your quality']",44
The product is announced to those who will get the headset from the very nice box.,"['Product', 'Speedeslimat', 'your quality']",45
"The product is very nice according to the price I gave a useful phone. I heard very good things before I got it. Everyone is satisfied. The charge does not end immediately. Everything is very nice. Before this phone, my brother took it and then I was very pleased. Money given to the end. It also comes out of its original sheath. But there's no headphones. Thanks trendyol ..","['Product', 'Priceperformance']",46
"The beautiful product macro camera is very successful in high light, but it makes you feel that it is 2 MP in low light, the price is very good in terms of performance","['Product', 'Priceperformance']",47
This product has been using this product for a week.,['Product'],48
Very nice phone can be called the best at this price.,['Product'],49
"Despite your product and this intensity, I was very pleased with your speed, thank you for your interest again, make the same discount again.",['Product'],50
"I have been using it for a year, it starts to hang out too much, it seems to take it too much.",['Product'],51
Price is a very nice phone in terms of performance. I will see the durability in the coming days and write a comment again. I recommend it for now.,"['Product', 'Priceperformance']",52
