,precision,recall,f1-score,support
0,1.0,0.1111111111111111,0.19999999999999998,27.0
1,0.0,0.0,0.0,113.0
2,0.5925925925925926,0.3902439024390244,0.47058823529411764,369.0
3,0.5882352941176471,0.15151515151515152,0.24096385542168675,66.0
4,0.0,0.0,0.0,11.0
5,0.6814814814814815,0.44019138755980863,0.5348837209302326,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.7992424242424242,0.7377622377622378,0.7672727272727273,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.724622030237581,0.45770804911323326,0.5610367892976589,1466.0
macro avg,0.20341954402411921,0.1017124327992963,0.12298380771770913,1466.0
weighted avg,0.6030603631478361,0.45770804911323326,0.5086093935578304,1466.0
samples avg,0.5986363636363636,0.5168939393939394,0.5418484848484848,1466.0
