,precision,recall,f1-score,support
0,0.875,0.25925925925925924,0.39999999999999997,27.0
1,0.0,0.0,0.0,113.0
2,0.6506849315068494,0.25745257452574527,0.36893203883495146,369.0
3,0.8,0.12121212121212122,0.2105263157894737,66.0
4,0.0,0.0,0.0,11.0
5,0.6504854368932039,0.32057416267942584,0.4294871794871795,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.781563126252505,0.6818181818181818,0.7282913165266106,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.7402088772845953,0.3867667121418827,0.5080645161290324,1466.0
macro avg,0.20876297192514215,0.09112868330526297,0.11873538059101198,1466.0
weighted avg,0.6135970697497544,0.3867667121418827,0.45509966762499604,1466.0
samples avg,0.5054545454545455,0.43386363636363634,0.45618181818181813,1466.0
