,precision,recall,f1-score,support
0,1.0,0.1111111111111111,0.19999999999999998,27.0
1,0.0,0.0,0.0,113.0
2,0.6015325670498084,0.4254742547425474,0.4984126984126984,369.0
3,0.8,0.12121212121212122,0.2105263157894737,66.0
4,0.0,0.0,0.0,11.0
5,0.6904761904761905,0.41626794258373206,0.5194029850746269,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8090737240075614,0.7482517482517482,0.7774750227066304,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.7351991388589881,0.465893587994543,0.5703549060542797,1466.0
macro avg,0.21672680452964224,0.10123984321673668,0.1225453901101905,1466.0
weighted avg,0.6199626270008378,0.465893587994543,0.5160163434005325,1466.0
samples avg,0.6136363636363636,0.5284090909090909,0.555060606060606,1466.0
