,precision,recall,f1-score,support
0,0.8565217391304348,0.6900175131348512,0.7643064985451018,571.0
1,0.8483547925608012,0.6603563474387528,0.7426424546023794,898.0
2,0.8738127544097694,0.763938315539739,0.8151898734177215,843.0
3,0.7924528301886793,0.47368421052631576,0.5929411764705882,266.0
4,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
5,0.814935064935065,0.5691609977324263,0.6702269692923899,441.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.7553191489361702,0.5182481751824818,0.6147186147186147,137.0
11,0.6,0.3333333333333333,0.42857142857142855,9.0
micro avg,0.8450932684509327,0.6510465479537645,0.7354861478736545,3201.0
macro avg,0.5173385830689655,0.3618393521851027,0.4227534550052224,3201.0
weighted avg,0.8342949730088474,0.6510465479537645,0.7293188704569538,3201.0
samples avg,0.7157051282051282,0.6902564102564102,0.6881923076923078,3201.0
