,precision,recall,f1-score,support
0,0.8370044052863436,0.6654991243432574,0.7414634146341463,571.0
1,0.7950219619326501,0.6046770601336303,0.6869070208728653,898.0
2,0.8407460545193687,0.6951364175563464,0.7610389610389612,843.0
3,0.7739130434782608,0.33458646616541354,0.46719160104986873,266.0
4,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
5,0.7434782608695653,0.3877551020408163,0.5096870342771982,441.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.759493670886076,0.43795620437956206,0.5555555555555557,137.0
11,0.5,0.3333333333333333,0.4,9.0
micro avg,0.8078448655795505,0.5726335520149953,0.670201096892139,3201.0
macro avg,0.4652492275254665,0.30213419788491885,0.36200548413756817,3201.0
weighted avg,0.7950307955994808,0.5726335520149953,0.6597511249908556,3201.0
samples avg,0.6394230769230769,0.615224358974359,0.6120384615384615,3201.0
