,precision,recall,f1-score,support
0,0.8319502074688797,0.702276707530648,0.7616334283000951,571.0
1,0.8358662613981763,0.6124721603563474,0.7069408740359897,898.0
2,0.8385269121813032,0.7022538552787663,0.7643641058747579,843.0
3,0.8384615384615385,0.40977443609022557,0.5505050505050506,266.0
4,0.7142857142857143,0.8333333333333334,0.7692307692307692,6.0
5,0.8434343434343434,0.3786848072562358,0.5226917057902972,441.0
6,0.8,0.36363636363636365,0.5000000000000001,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.821917808219178,0.43795620437956206,0.5714285714285714,137.0
11,0.25,0.1111111111111111,0.15384615384615383,9.0
micro avg,0.8343639575971732,0.5901280849734458,0.6913083257090576,3201.0
macro avg,0.5645368987874277,0.37929158158104936,0.4417200549176404,3201.0
weighted avg,0.8295699552846573,0.5901280849734458,0.6812907321679702,3201.0
samples avg,0.6549358974358974,0.6223717948717948,0.627448717948718,3201.0
