x,y,cluster,primary_label
-28.47244,-23.307665,5,Product
-72.091095,-19.340803,5,Product
-8.734943,-37.2482,5,Product
-41.05156,-40.97787,5,Product
-57.36615,-9.2428055,5,Product
-3.5051427,-12.184866,5,Product
-40.48955,-24.398842,5,Product
-37.757496,-42.263084,5,Product
-13.928434,-40.525047,5,Product
-35.55656,2.0480773,5,Product
-26.675352,-4.572196,5,Product
-57.31415,-33.64173,5,Product
-46.62384,-39.442677,5,Product
-67.762886,-35.704033,5,Product
-37.68354,-42.564854,5,Product
-37.133137,-16.914837,5,Product
-20.181665,-2.9067209,5,Product
-35.488842,33.37734,2,Product
-57.756855,2.073924,5,Product
-68.656685,-2.3961778,5,Product
-19.086054,-30.704905,5,Product
-21.60931,25.821049,2,Product
-55.367867,6.309897,5,Product
-42.282772,-19.958504,5,Product
-38.019028,9.774516,5,Product
-41.718845,-36.44417,5,Product
-38.62094,17.74825,5,Product
-31.16295,-3.9213104,5,Product
-17.271349,-19.932882,5,Product
-31.018587,-10.618193,5,Product
-48.107372,-27.481833,5,Product
-40.028442,-30.233862,5,Product
-39.900383,-23.73548,5,Product
-34.249992,12.069623,5,Product
-58.415466,-9.624385,5,Product
-25.669685,-11.10769,5,Product
-40.42301,-34.368744,5,Product
-30.335918,69.75138,2,Product
-13.6646805,-35.24511,5,Product
-29.080032,-22.292078,5,Product
-29.102982,-22.752779,5,Product
-16.238512,-25.377031,5,Product
-41.70761,7.707062,5,Product
6.912535,7.1503954,5,Product
-22.459248,15.567581,5,Product
-18.999624,-30.639956,5,Product
-39.05647,-36.614426,5,Product
-63.377907,1.2253416,5,Product
-23.669964,18.436714,5,Product
-27.409435,-56.54335,5,Product
-24.47728,-15.113465,5,Product
-7.091632,38.426292,6,Product
-45.175934,-29.133844,5,Product
-40.325478,-50.75006,5,Product
-57.038322,7.213046,5,Product
-57.064503,-8.197941,5,Product
-24.573555,-31.879877,5,Product
-42.938663,-6.4585166,5,Product
-32.08111,-0.4560479,5,Product
-23.521038,18.425528,5,Product
-42.956932,-7.661146,5,Product
-33.122276,7.1517406,5,Product
-37.903393,9.649309,5,Product
-43.243904,-26.476406,5,Product
-17.559387,-28.029266,5,Product
-40.417984,-6.7806654,5,Product
-30.50407,51.67331,2,Product
-30.197468,61.00866,2,Product
-80.114876,-1.0424118,5,Product
-30.275812,7.886068,5,Product
-65.44802,-4.9262953,5,Product
-8.604967,-39.486027,5,Product
-45.093445,-40.155773,5,Product
-22.417534,-1.6044295,5,Product
-28.684399,-47.090446,5,Product
-3.6074636,4.755992,5,Product
-6.204007,-66.343704,5,Product
-1.619052,-12.422324,5,Product
-16.485962,20.064274,1,Product
-23.760365,-35.011395,5,Product
-67.61021,-4.2308245,5,Product
-11.644225,-50.301105,5,Product
-47.32817,-47.89422,5,Product
-24.437292,-28.974478,5,Product
-24.081942,-17.092476,5,Product
-33.60642,-34.07814,5,Product
-19.572878,-18.346296,5,Product
-44.746994,-22.298954,5,Product
-47.181885,-21.834976,5,Product
-54.612267,-24.880875,5,Product
-54.3584,-36.258503,5,Product
-14.326983,-47.384926,5,Product
-51.864613,-37.17412,5,Product
-10.0317335,-28.720573,5,Product
-51.045868,-13.088072,5,Product
16.799791,53.109562,6,Product
-57.72314,2.2423635,5,Product
-65.13961,-43.69703,5,Product
-27.078985,-31.724392,5,Product
-23.505676,-28.506027,5,Product
-58.729744,-9.779263,5,Product
-30.125813,-27.15685,5,Product
-43.60601,-23.47161,5,Product
-32.388554,-51.003788,5,Product
-24.511723,-28.930218,5,Product
-47.2955,-37.635757,5,Product
-62.528572,-48.829243,5,Product
-62.693993,11.460134,5,Product
-51.09466,-35.43603,5,Product
-63.87729,-49.586266,5,Product
-3.816415,-28.123219,5,Product
-60.919464,10.610608,5,Product
-35.434204,-11.71229,5,Product
-0.16906074,-32.042397,5,Product
-34.082905,-33.358418,5,Product
-34.134686,-26.13806,5,Product
-20.731207,-24.974724,5,Product
-25.143229,-2.8429284,5,Product
-24.406597,-33.092415,5,Product
-39.514397,-35.553806,5,Product
-56.135674,-45.95763,5,Product
-50.145214,-38.717358,5,Product
-55.623894,-21.084837,5,Product
-31.028597,-20.436785,5,Product
-62.233757,8.826055,5,Product
-14.839023,-39.349213,5,Product
-47.879852,-27.070604,5,Product
3.533551,-15.121224,5,Product
-43.862312,-29.503025,5,Product
-45.319706,12.186706,5,Product
-20.25194,-36.593945,5,Product
-48.912365,-4.4527187,5,Product
-25.680386,-23.40529,5,Product
-28.282042,-40.24522,5,Product
-19.878899,7.022559,5,Product
-47.79023,-30.680258,5,Product
-21.803463,31.63979,2,Product
-26.875689,-59.549088,5,Product
-8.484283,-17.137411,5,Product
-30.639683,-43.044357,5,Product
-44.06284,-29.724352,5,Product
-28.39078,-34.113934,5,Product
-7.9208627,-65.75765,5,Product
-19.477364,4.3919516,5,Product
10.479273,12.108382,4,Product
-29.984343,21.932785,5,Product
-33.00666,-41.581753,5,Product
-39.616825,-28.96641,5,Product
-19.955244,-38.568985,5,Product
-41.470398,-53.650105,5,Product
-23.58824,-19.766235,5,Product
-17.453102,-46.909775,5,Product
-51.302856,5.2760763,5,Product
-43.344303,13.784197,5,Product
-42.086487,-30.253197,5,Product
-37.831192,8.760159,5,Product
-53.336533,-42.077484,5,Product
-44.528194,-34.583855,5,Product
-33.518066,-32.7922,5,Product
-56.34034,9.302456,5,Product
-40.63599,-27.518541,5,Product
-38.628223,-48.813934,5,Product
-22.48368,22.773619,2,Product
-25.321514,-53.89628,5,Product
-22.938385,-20.782825,5,Product
-27.880667,-55.947464,5,Product
-55.55148,-21.387997,5,Product
-26.570084,-10.101771,5,Product
-46.31654,-22.254221,5,Product
-37.114765,13.952113,5,Product
-56.933193,-17.664959,5,Product
-46.634823,-27.090294,5,Product
-27.895575,-58.636646,5,Product
-71.45107,-15.382833,5,Product
-43.33161,21.604843,5,Product
-37.6206,-10.161374,5,Product
-68.36273,8.738719,5,Product
-45.85703,-30.820915,5,Product
-66.414894,11.378507,5,Product
-51.145863,-22.87935,5,Product
-51.48424,-4.5948343,5,Product
-3.8913918,-27.365303,5,Product
-37.34992,23.309977,5,Product
-14.216682,-30.744902,5,Product
-63.38012,-7.065978,5,Product
-17.013712,-20.070168,5,Product
-51.318684,-35.551235,5,Product
-6.9962316,-16.967203,5,Product
-50.099255,-14.36194,5,Product
-64.17061,10.082519,5,Product
-57.644707,-12.77968,5,Product
-42.92743,-7.5945845,5,Product
-35.124477,-8.986112,5,Product
-22.48898,15.620307,5,Product
-37.579117,23.401684,5,Product
-44.936016,5.0039067,5,Product
-56.126347,-23.994694,5,Product
-30.968441,-17.449293,5,Product
-51.927273,-22.714933,5,Product
-48.509285,-3.1404204,5,Product
-43.390896,-26.404678,5,Product
-56.16835,-33.09255,5,Product
-37.61873,36.51026,2,Product
-51.32101,5.261193,5,Product
-37.06912,1.11905,5,Product
-25.645475,-22.178926,5,Product
-33.93963,-6.2399783,5,Product
-57.64914,6.4929266,5,Product
-45.93403,-22.426756,5,Product
-1.3029139,-25.039259,5,Product
-57.20418,7.856559,5,Product
-14.775455,-51.023907,5,Product
-28.096619,-25.97288,5,Product
-31.664568,-49.480827,5,Product
-48.472046,-25.865646,5,Product
23.74216,60.690098,6,Product
-21.509413,15.77544,5,Product
