,precision,recall,f1-score,support
0,0.9471830985915493,0.9422066549912435,0.9446883230904302,571.0
1,0.9629629629629629,0.955456570155902,0.9591950810508664,898.0
2,0.9487485101311085,0.9442467378410438,0.9464922711058263,843.0
3,0.8884615384615384,0.868421052631579,0.8783269961977186,266.0
4,0.8,0.6666666666666666,0.7272727272727273,6.0
5,0.8969298245614035,0.927437641723356,0.9119286510590858,441.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.9057971014492754,0.9124087591240876,0.9090909090909091,137.0
11,0.0,0.0,0.0,9.0
micro avg,0.9379157427937915,0.9250234301780693,0.9314249764076754,3201.0
macro avg,0.5291735863464865,0.5180703402611565,0.5230829132389636,3201.0
weighted avg,0.9266317740824549,0.9250234301780693,0.9257643882615639,3201.0
samples avg,0.9431410256410255,0.9444230769230769,0.9353333333333333,3201.0
