,precision,recall,f1-score,support
0,1.0,0.07407407407407407,0.13793103448275862,27.0
1,0.0,0.0,0.0,113.0
2,0.518918918918919,0.5203252032520326,0.5196211096075778,369.0
3,0.0,0.0,0.0,66.0
4,0.0,0.0,0.0,11.0
5,0.7064220183486238,0.3684210526315789,0.48427672955974843,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8211538461538461,0.7465034965034965,0.782051282051282,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.6973026973026973,0.4761255115961801,0.5658694770976895,1466.0
macro avg,0.16924971019007717,0.094962434803399,0.10688223087229816,1466.0
weighted avg,0.5701386650176967,0.4761255115961801,0.5075112531975112,1466.0
samples avg,0.6322727272727273,0.5352272727272728,0.5654848484848485,1466.0
