,precision,recall,f1-score,support
0,0.0,0.0,0.0,27.0
1,0.9393939393939394,0.8230088495575221,0.8773584905660378,113.0
2,0.9512195121951219,0.9512195121951219,0.9512195121951219,369.0
3,0.8085106382978723,0.5757575757575758,0.672566371681416,66.0
4,0.0,0.0,0.0,11.0
5,0.9583333333333334,0.8803827751196173,0.9177057356608479,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.9701230228471002,0.965034965034965,0.9675723049956179,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.9545454545454546,0.8308321964529332,0.888402625820569,1466.0
macro avg,0.2570878025592982,0.233077982092489,0.24369013417216895,1466.0
weighted avg,0.8633801180179965,0.8308321964529332,0.8456908234485309,1466.0
samples avg,0.9660606060606062,0.8901515151515152,0.911,1466.0
