,precision,recall,f1-score,support
0,0.0,0.0,0.0,27.0
1,0.0,0.0,0.0,113.0
2,0.7422680412371134,0.5853658536585366,0.6545454545454545,369.0
3,0.8235294117647058,0.42424242424242425,0.56,66.0
4,0.0,0.0,0.0,11.0
5,0.7345679012345679,0.569377990430622,0.6415094339622641,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8626760563380281,0.8566433566433567,0.8596491228070176,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8085308056872038,0.5818553888130968,0.6767155890519635,1466.0
macro avg,0.17572452280968975,0.1353127569430522,0.15087244507304087,1466.0
weighted avg,0.6652286793835895,0.5818553888130968,0.616836318329468,1466.0
samples avg,0.7386363636363636,0.6470454545454546,0.6735454545454547,1466.0
