,precision,recall,f1-score,support
0,0.8333333333333334,0.18518518518518517,0.30303030303030304,27.0
1,1.0,0.008849557522123894,0.017543859649122806,113.0
2,0.7142857142857143,0.5555555555555556,0.625,369.0
3,0.9411764705882353,0.24242424242424243,0.3855421686746988,66.0
4,0.0,0.0,0.0,11.0
5,0.7372262773722628,0.48325358851674644,0.5838150289017341,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8558052434456929,0.798951048951049,0.8264014466546112,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.7993890020366599,0.5354706684856753,0.6413398692810458,1466.0
macro avg,0.28232372439029096,0.12634550989749457,0.15229626705058166,1466.0
weighted avg,0.7536084357789845,0.5354706684856753,0.5872810545577075,1466.0
samples avg,0.6813636363636364,0.5947727272727272,0.6189090909090909,1466.0
