,precision,recall,f1-score,support
0,0.0,0.0,0.0,27.0
1,0.0,0.0,0.0,113.0
2,0.8058252427184466,0.6747967479674797,0.7345132743362832,369.0
3,0.0,0.0,0.0,66.0
4,0.0,0.0,0.0,11.0
5,0.7272727272727273,0.7655502392344498,0.745920745920746,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8998073217726397,0.8164335664335665,0.8560953253895509,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8358778625954199,0.597544338335607,0.6968973747016707,1466.0
macro avg,0.13516140509798966,0.12537669742419422,0.12980718586925447,1466.0
weighted avg,0.6575984328902159,0.597544338335607,0.6252519510575358,1466.0
samples avg,0.7813636363636364,0.6700757575757575,0.7044242424242424,1466.0
