,precision,recall,f1-score,support
0,0.6666666666666666,0.4444444444444444,0.5333333333333333,27.0
1,0.7777777777777778,0.5575221238938053,0.6494845360824743,113.0
2,0.7886904761904762,0.7181571815718157,0.75177304964539,369.0
3,0.8333333333333334,0.6060606060606061,0.7017543859649122,66.0
4,0.0,0.0,0.0,11.0
5,0.8698224852071006,0.7033492822966507,0.7777777777777778,209.0
6,0.5555555555555556,0.16129032258064516,0.25,31.0
7,0.0,0.0,0.0,0.0
8,0.9003831417624522,0.8216783216783217,0.8592321755027422,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,1.0,0.15789473684210525,0.2727272727272727,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.375,0.13636363636363635,0.2,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8410981697171381,0.689631650750341,0.7578710644677661,1466.0
macro avg,0.3759571909162979,0.23926448087400173,0.2775601406129946,1466.0
weighted avg,0.8195429422386108,0.689631650750341,0.7416643761903785,1466.0
samples avg,0.7948484848484849,0.7364393939393938,0.7459393939393939,1466.0
