,precision,recall,f1-score,support
0,0.9394463667820069,0.9509632224168126,0.9451697127937336,571.0
1,0.9591160220994475,0.9665924276169265,0.9628397115917915,898.0
2,0.9629171817058096,0.9240806642941874,0.9430992736077481,843.0
3,0.8901960784313725,0.8533834586466166,0.8714011516314779,266.0
4,0.0,0.0,0.0,6.0
5,0.9113636363636364,0.909297052154195,0.9103291713961408,441.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.9197080291970803,0.9197080291970803,0.9197080291970803,137.0
11,0.0,0.0,0.0,9.0
micro avg,0.942381562099872,0.9197125898156826,0.9309090909090909,3201.0
macro avg,0.46522894288161276,0.46033540452715155,0.46271225418483103,3201.0
weighted avg,0.9291323861152566,0.9197125898156826,0.9242744534788048,3201.0
samples avg,0.9441666666666666,0.9415705128205127,0.9341025641025641,3201.0
