,precision,recall,f1-score,support
0,0.9337979094076655,0.9387040280210157,0.9362445414847161,571.0
1,0.9540358744394619,0.9476614699331849,0.9508379888268157,898.0
2,0.9478054567022538,0.9478054567022538,0.9478054567022538,843.0
3,0.8803088803088803,0.8571428571428571,0.8685714285714284,266.0
4,0.75,1.0,0.8571428571428571,6.0
5,0.9088888888888889,0.927437641723356,0.9180695847362513,441.0
6,0.7272727272727273,0.7272727272727273,0.7272727272727273,11.0
7,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.8865248226950354,0.9124087591240876,0.8992805755395683,137.0
11,0.5333333333333333,0.8888888888888888,0.6666666666666667,9.0
micro avg,0.9294631710362048,0.9303342705404561,0.9298985167837628,3201.0
macro avg,0.7009047318280945,0.7344990412895864,0.7111497157373372,3201.0
weighted avg,0.9288739615921471,0.9303342705404561,0.9293483246352938,3201.0
samples avg,0.9444230769230769,0.9482692307692308,0.9376593406593406,3201.0
