,precision,recall,f1-score,support
0,0.856858846918489,0.7548161120840631,0.8026070763500931,571.0
1,0.8461538461538461,0.7472160356347439,0.7936132465996452,898.0
2,0.8643031784841075,0.8386714116251482,0.8512944009632751,843.0
3,0.8435754189944135,0.5676691729323309,0.6786516853932584,266.0
4,0.75,0.5,0.6,6.0
5,0.7969432314410481,0.8276643990929705,0.8120133481646273,441.0
6,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.7777777777777778,0.6131386861313869,0.6857142857142857,137.0
11,0.8,0.4444444444444444,0.5714285714285714,9.0
micro avg,0.8423799582463466,0.7563261480787254,0.797037037037037,3201.0
macro avg,0.6140788027585846,0.4790138097075452,0.5319631590609503,3201.0
weighted avg,0.8375461991999226,0.7563261480787254,0.7923680266887353,3201.0
samples avg,0.8025,0.786923076923077,0.7805091575091574,3201.0
