,precision,recall,f1-score,support
0,0.6666666666666666,0.2222222222222222,0.3333333333333333,27.0
1,0.6808510638297872,0.5663716814159292,0.6183574879227053,113.0
2,0.8515901060070671,0.6531165311653117,0.7392638036809815,369.0
3,0.8809523809523809,0.5606060606060606,0.6851851851851852,66.0
4,0.0,0.0,0.0,11.0
5,0.847953216374269,0.69377990430622,0.7631578947368421,209.0
6,0.6,0.0967741935483871,0.16666666666666666,31.0
7,0.0,0.0,0.0,0.0
8,0.8937282229965157,0.8968531468531469,0.8952879581151832,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,1.0,0.10526315789473684,0.19047619047619047,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.47058823529411764,0.18181818181818182,0.26229508196721313,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8512949039264829,0.6950886766712142,0.7653022906496433,1466.0
macro avg,0.38290721622893353,0.220933615546122,0.25855686678246115,1466.0
weighted avg,0.8281421723065494,0.6950886766712142,0.74271239553201,1466.0
samples avg,0.837878787878788,0.756439393939394,0.7756666666666667,1466.0
