,precision,recall,f1-score,support
0,0.0,0.0,0.0,27.0
1,0.0,0.0,0.0,113.0
2,0.7764705882352941,0.5365853658536586,0.6346153846153847,369.0
3,0.8888888888888888,0.12121212121212122,0.21333333333333335,66.0
4,0.0,0.0,0.0,11.0
5,0.782608695652174,0.5167464114832536,0.622478386167147,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.8576449912126538,0.8531468531468531,0.855390008764242,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8259526261585994,0.5470668485675307,0.6581862946245384,1466.0
macro avg,0.18364517577716724,0.11264948620532704,0.1292120618266726,1466.0
weighted avg,0.681666075095793,0.5470668485675307,0.5918377521454005,1466.0
samples avg,0.7177272727272728,0.6173484848484848,0.6483939393939394,1466.0
