,precision,recall,f1-score,support
0,0.024545454545454544,1.0,0.0479148181011535,27.0
1,0.0,0.0,0.0,113.0
2,0.33545454545454545,1.0,0.5023825731790333,369.0
3,0.0,0.0,0.0,66.0
4,0.0,0.0,0.0,11.0
5,0.0,0.0,0.0,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,572.0
9,0.0009090909090909091,1.0,0.0018165304268846503,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0009090909090909091,1.0,0.0018165304268846503,1.0
15,0.04,1.0,0.07692307692307693,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.05569556451612903,0.3015006821282401,0.09402254839395874,1466.0
macro avg,0.02232323232323232,0.2777777777777778,0.035047418280946284,1466.0
weighted avg,0.08608954483442886,0.3015006821282401,0.12964605595993425,1466.0
samples avg,0.055748556998557,0.2922727272727273,0.09145684113865932,1466.0
