,precision,recall,f1-score,support
0,0.8526785714285714,0.6690017513134852,0.7497546614327772,571.0
1,0.8405797101449275,0.6458797327394209,0.7304785894206549,898.0
2,0.8743016759776536,0.7425860023724793,0.8030788967286723,843.0
3,0.8296296296296296,0.42105263157894735,0.5586034912718204,266.0
4,0.0,0.0,0.0,6.0
5,0.7941176470588235,0.5510204081632653,0.6506024096385542,441.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.7142857142857143,0.40145985401459855,0.514018691588785,137.0
11,0.0,0.0,0.0,9.0
micro avg,0.842327150084317,0.6241799437675727,0.7170285304144984,3201.0
macro avg,0.40879941237711,0.28591669834851635,0.3338780616734387,3201.0
weighted avg,0.8270855556190522,0.6241799437675727,0.7082161658846313,3201.0
samples avg,0.6913461538461538,0.6670192307692308,0.6641538461538461,3201.0
