,precision,recall,f1-score,support
0,0.8530066815144766,0.670753064798599,0.7509803921568627,571.0
1,0.8498452012383901,0.611358574610245,0.711139896373057,898.0
2,0.8985074626865671,0.7141162514827996,0.7957699933906147,843.0
3,0.8484848484848485,0.42105263157894735,0.5628140703517588,266.0
4,1.0,0.5,0.6666666666666666,6.0
5,0.8434782608695652,0.4399092970521542,0.5782414307004471,441.0
6,0.6666666666666666,0.36363636363636365,0.47058823529411764,11.0
7,1.0,0.08333333333333333,0.15384615384615385,12.0
8,0.0,0.0,0.0,3.0
9,0.0,0.0,0.0,4.0
10,0.8472222222222222,0.44525547445255476,0.583732057416268,137.0
11,0.8,0.4444444444444444,0.5714285714285714,9.0
micro avg,0.8640469738030714,0.5976257419556389,0.7065558633425669,3201.0
macro avg,0.7172676119735614,0.3911549529491201,0.4871006223020431,3201.0
weighted avg,0.8603384121898914,0.5976257419556389,0.6994993197090291,3201.0
samples avg,0.6693589743589743,0.6292307692307693,0.6381282051282051,3201.0
