,precision,recall,f1-score,support
0,0.8333333333333334,0.18518518518518517,0.303030303030303,27.0
1,1.0,0.008849557522123894,0.017543859649122806,113.0
2,0.7325581395348837,0.5121951219512195,0.6028708133971292,369.0
3,0.9444444444444444,0.25757575757575757,0.4047619047619047,66.0
4,0.0,0.0,0.0,11.0
5,0.710691823899371,0.5406698564593302,0.6141304347826088,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.864406779661017,0.8024475524475524,0.8322756119673617,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8057553956834532,0.5347885402455662,0.6428864288642887,1466.0
macro avg,0.28252414004850274,0.12816239061895385,0.15414516264380165,1466.0
weighted avg,0.7579280736581007,0.5347885402455662,0.5891901781001989,1466.0
samples avg,0.6859090909090909,0.5947727272727272,0.6214848484848485,1466.0
