,precision,recall,f1-score,support
0,0.0,0.0,0.0,27.0
1,0.0,0.0,0.0,113.0
2,0.0,0.0,0.0,369.0
3,0.06,1.0,0.11320754716981131,66.0
4,0.01,1.0,0.019801980198019802,11.0
5,0.0,0.0,0.0,209.0
6,0.0,0.0,0.0,31.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0009099181073703367,1.0,0.0018181818181818182,1.0
12,0.017335766423357664,1.0,0.034080717488789235,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.04,1.0,0.07692307692307693,44.0
16,0.0018181818181818182,1.0,0.0036297640653357535,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.018544935805991442,0.09754433833560709,0.031164868693472812,1466.0
macro avg,0.007225770352717213,0.3333333333333333,0.013858959314623047,1466.0
weighted avg,0.004204587887986036,0.09754433833560709,0.008001873548592768,1466.0
samples avg,0.018555194805194804,0.06204545454545454,0.028362258953168046,1466.0
