,precision,recall,f1-score,support
0,0.75,0.3333333333333333,0.46153846153846156,27.0
1,0.7692307692307693,0.5309734513274337,0.6282722513089005,113.0
2,0.7857142857142857,0.7154471544715447,0.748936170212766,369.0
3,0.8604651162790697,0.5606060606060606,0.6788990825688073,66.0
4,0.0,0.0,0.0,11.0
5,0.8757396449704142,0.7081339712918661,0.783068783068783,209.0
6,0.5,0.0967741935483871,0.16216216216216214,31.0
7,0.0,0.0,0.0,0.0
8,0.896421845574388,0.8321678321678322,0.8631006346328197,572.0
9,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0
12,1.0,0.05263157894736842,0.1,19.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0
15,0.35714285714285715,0.11363636363636363,0.17241379310344826,44.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,0.0
micro avg,0.8428571428571429,0.6841746248294679,0.7552710843373494,1466.0
macro avg,0.37748413993954355,0.21909466329612165,0.25546618547756383,1466.0
weighted avg,0.8184785219697948,0.6841746248294679,0.7343037255882834,1466.0
samples avg,0.7912121212121213,0.733560606060606,0.7426060606060606,1466.0
